,id,id_pais,anio,id_region,pbi,prod_carb_porc_anual,prod_carbon,prod_carb_porc_anual,prod_carbon,prod_gas_porc_anual,prod_gas,prod_petr_porc_anual,prod_petroleo,con_bio_porc_anual,con_biocomb,con_carb_porc_anual,con_carbon,con_gas_porc_anual,con_gas,con_hydro_porc_anual,con_hydro,con_nuc_porc_anual,con_nuc,con_petr_porc_anual,con_petr,con_sol_porc_anual,con_sol,con_eol_porc_anual,con_eol,gen_biocomb,gen_bio_porc,gen_carbon,gen_carbon_porc,gen_gas,gen_gas_porc,gen_hidro,gen_hidro_porc,import_netas,import_netas_porc,gen_nuclear,gen_nuclear_porc,gen_petroleo,gen_petroleo_porc,gen_solar,gen_solar_porc,gen_eolica,gen_eolica_porc,intensidad_carbono,CO2_emission,pm2_5_gm3,pm10_gm3,no2_gm3
77,ALB-2016,ALB,2016,1,31481821184.0,,0.0,,0.0,28.57,0.466,13.14,15.398,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.78,100.0,-0.04,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.422,7.82757146807999,42.96,87.48,63.56
78,ALB-2017,ALB,2017,1,32678760448.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.52,100.0,2.91,39.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.336,8.211542410371225,0.0,0.0,24.7
79,ALB-2018,ALB,2018,1,34009112576.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.55,100.0,-0.91,-11.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.561,8.967451361787731,,,
80,ALB-2019,ALB,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.18,99.615,2.41,31.669,0.0,0.0,0.0,0.0,0.02,0.385,0.0,0.0,23.077,8.062603117526677,10.32,0.0,0.0
81,ALB-2020,ALB,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.28,99.435,2.28,30.04,0.0,0.0,0.0,0.0,0.03,0.565,0.0,0.0,24.482,,,,
82,DZA-1980,DZA,1980,2,94481653760.0,35.693,0.055,35.693,0.055,-18.266,154.098,-11.266,599.439,,,-11.111,0.744,34.238,109.436,-11.684,0.76,,0.0,1.353,66.202,,0.0,,0.0,,,,,,,0.257,,,,0.0,,,,0.0,,0.0,,,0.0,,,
83,DZA-1981,DZA,1981,2,96860520448.0,0.0,0.055,0.0,0.055,15.932,178.648,-10.895,534.127,,,-29.688,0.523,29.991,142.257,42.412,1.082,,0.0,7.735,71.323,,0.0,,0.0,,,,,,,0.366,,,,0.0,,,,0.0,,0.0,,,91.32718180836235,,,
84,DZA-1982,DZA,1982,2,103073660928.0,0.0,0.055,0.0,0.055,30.48,233.1,-0.514,531.383,,,1755.555,9.711,13.464,161.411,30.874,1.416,,0.0,5.959,75.573,,0.0,,0.0,,,,,,,0.479,,,,0.0,,,,0.0,,0.0,,,78.75238676413265,,,
85,DZA-1983,DZA,1983,2,108430385152.0,0.0,0.055,0.0,0.055,43.197,333.793,-1.614,522.808,,,-10.778,8.664,9.481,176.715,-50.939,0.695,,0.0,12.331,84.892,,0.0,,0.0,,,,,,,0.235,,,,0.0,,,,0.0,,0.0,,,113.06397892751684,,,
86,DZA-1984,DZA,1984,2,114406670336.0,0.0,0.055,0.0,0.055,1.787,339.759,8.526,567.381,,,10.872,9.606,-12.146,155.251,92.34,1.337,,0.0,10.731,94.002,,0.0,,0.0,,,,,,,0.452,,,,0.0,,,,0.0,,0.0,,,126.33790861155146,,,
87,DZA-1985,DZA,1985,2,120364212224.0,14.286,0.063,14.286,0.063,9.896,373.381,-3.536,547.32,,,4.358,10.025,-0.93,153.807,42.92,1.91,,0.0,2.715,96.554,,0.0,,0.0,,,,,,,0.646,5.263,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,133.5337246038484,,,
88,DZA-1986,DZA,1986,2,119145037824.0,12.5,0.071,12.5,0.071,2.28,381.894,3.014,563.814,,,2.668,10.293,9.512,168.437,-61.3,0.739,,0.0,1.52,98.021,,0.0,,0.0,,,,,,,0.25,1.926,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,123.5144020538975,,,
89,DZA-1987,DZA,1987,2,118321217536.0,-11.111,0.063,-11.111,0.063,12.86,431.008,3.545,583.8,,,19.548,12.305,2.286,172.288,99.6,1.476,,0.0,1.101,99.101,,0.0,,0.0,,,,,,,0.499,3.922,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,121.83693278249541,,,
90,DZA-1988,DZA,1988,2,115821715456.0,25.0,0.079,25.0,0.079,4.541,450.581,4.736,611.45,,,-5.955,11.572,12.682,194.136,-63.327,0.541,,0.0,0.073,99.173,,0.0,,0.0,,,,,,,0.183,1.31,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,128.68600988350892,,,
