,id_prod,id_pais,prod_carb_porc_anual,prod_carbon,prod_gas_porc_anual,prod_gas,prod_petr_porc_anual,prod_petroleo
89,P-DZA-1987,DZA,-11.111,0.063,12.86,431.008,3.545,583.8
90,P-DZA-1988,DZA,25.0,0.079,4.541,450.581,4.736,611.45
91,P-DZA-1989,DZA,50.0,0.118,7.823,485.832,3.632,633.658
92,P-DZA-1990,DZA,-33.333,0.079,6.327,516.57,7.104,678.674
93,P-DZA-1991,DZA,50.0,0.118,7.833,557.03,0.58,682.608
94,P-DZA-1992,DZA,0.0,0.118,4.126,580.011,-3.735,657.111
95,P-DZA-1993,DZA,33.333,0.158,1.285,587.466,-0.315,655.039
96,P-DZA-1994,DZA,0.0,0.158,-8.061,540.109,-0.447,652.109
97,P-DZA-1995,DZA,13.59,0.179,13.85,614.913,-0.464,649.085
98,P-DZA-1996,DZA,-45.455,0.098,6.115,652.513,5.736,686.313
99,P-DZA-1997,DZA,-15.442,0.083,14.724,748.588,4.329,716.024
100,P-DZA-1998,DZA,-27.273,0.06,7.084,801.621,-0.294,713.917
101,P-DZA-1999,DZA,-37.5,0.038,12.406,901.069,-4.655,680.686
102,P-DZA-2000,DZA,-100.0,0.0,1.977,918.886,14.11,776.733
103,P-DZA-2001,DZA,,0.0,-5.894,864.725,-1.551,764.684
104,P-DZA-2002,DZA,,0.0,2.855,889.416,7.822,824.497
105,P-DZA-2003,DZA,,0.0,5.527,938.576,11.441,918.828
106,P-DZA-2004,DZA,,0.0,-1.921,920.549,5.754,971.698
107,P-DZA-2005,DZA,,0.0,-7.76,849.117,3.455,1005.27
108,P-DZA-2006,DZA,,0.0,-4.254,812.995,-0.273,1002.529
109,P-DZA-2007,DZA,,0.0,0.426,816.46,0.325,1005.786
110,P-DZA-2008,DZA,,0.0,1.169,826.008,-1.99,985.771
111,P-DZA-2009,DZA,,0.0,-7.305,765.669,-8.88,898.231
112,P-DZA-2010,DZA,,0.0,1.084,773.966,-4.479,858.003
113,P-DZA-2011,DZA,,0.0,2.845,795.987,-2.846,833.58
114,P-DZA-2012,DZA,,0.0,-1.451,784.438,-6.227,781.676
115,P-DZA-2013,DZA,,0.0,1.141,793.389,-3.612,753.438
116,P-DZA-2014,DZA,,0.0,1.051,801.724,6.154,799.807
117,P-DZA-2015,DZA,,0.0,1.545,814.111,-2.248,781.827
118,P-DZA-2016,DZA,,0.0,12.26,913.923,1.773,795.69
119,P-DZA-2017,DZA,,,1.733,929.765,-2.586,775.116
120,P-DZA-2018,DZA,,,0.933,938.438,-1.975,759.811
121,P-DZA-2019,DZA,,,-7.344,869.523,-1.534,748.158
122,P-DZA-2020,DZA,,,-6.321,814.564,-10.592,668.911
123,P-DZA-2021,DZA,,,23.715,1007.737,1.144,676.564
124,P-ASM-1980,ASM,,0.0,,0.0,,0.0
125,P-ASM-1981,ASM,,0.0,,0.0,,0.0
126,P-ASM-1982,ASM,,0.0,,0.0,,0.0
127,P-ASM-1983,ASM,,0.0,,0.0,,0.0
128,P-ASM-1984,ASM,,0.0,,0.0,,0.0
129,P-ASM-1985,ASM,,0.0,,0.0,,0.0
130,P-ASM-1986,ASM,,0.0,,0.0,,0.0
131,P-ASM-1987,ASM,,0.0,,0.0,,0.0
132,P-ASM-1988,ASM,,0.0,,0.0,,0.0
133,P-ASM-1989,ASM,,0.0,,0.0,,0.0
134,P-ASM-1990,ASM,,0.0,,0.0,,0.0
135,P-ASM-1991,ASM,,0.0,,0.0,,0.0
136,P-ASM-1992,ASM,,0.0,,0.0,,0.0
137,P-ASM-1993,ASM,,0.0,,0.0,,0.0
138,P-ASM-1994,ASM,,0.0,,0.0,,0.0
139,P-ASM-1995,ASM,,0.0,,0.0,,0.0
140,P-ASM-1996,ASM,,0.0,,0.0,,0.0
141,P-ASM-1997,ASM,,0.0,,0.0,,0.0
142,P-ASM-1998,ASM,,0.0,,0.0,,0.0
143,P-ASM-1999,ASM,,0.0,,0.0,,0.0
144,P-ASM-2000,ASM,,0.0,,0.0,,0.0
145,P-ASM-2001,ASM,,0.0,,0.0,,0.0
146,P-ASM-2002,ASM,,0.0,,0.0,,0.0
147,P-ASM-2003,ASM,,0.0,,0.0,,0.0
148,P-ASM-2004,ASM,,0.0,,0.0,,0.0
149,P-ASM-2005,ASM,,0.0,,0.0,,0.0
150,P-ASM-2006,ASM,,0.0,,0.0,,0.0
151,P-ASM-2007,ASM,,0.0,,0.0,,0.0
152,P-ASM-2008,ASM,,0.0,,0.0,,0.0
153,P-ASM-2009,ASM,,0.0,,0.0,,0.0
154,P-ASM-2010,ASM,,0.0,,0.0,,0.0
155,P-ASM-2011,ASM,,0.0,,0.0,,0.0
156,P-ASM-2012,ASM,,0.0,,0.0,,0.0
157,P-ASM-2013,ASM,,0.0,,0.0,,0.0
158,P-ASM-2014,ASM,,0.0,,0.0,,0.0
159,P-ASM-2015,ASM,,0.0,,0.0,,0.0
160,P-ASM-2016,ASM,,0.0,,0.0,,0.0
161,P-ASM-2017,ASM,,,,,,
162,P-ASM-2018,ASM,,,,,,
163,P-ASM-2019,ASM,,,,,,
164,P-ASM-2020,ASM,,,,,,
165,P-AGO-1980,AGO,,0.0,230.438,2.825,3.167,86.388
166,P-AGO-1981,AGO,,0.0,-4.348,2.703,-3.635,83.248
167,P-AGO-1982,AGO,,0.0,13.636,3.071,-10.45,74.548
168,P-AGO-1983,AGO,,0.0,20.0,3.685,37.129,102.228
169,P-AGO-1984,AGO,,0.0,0.0,3.685,14.608,117.161
170,P-AGO-1985,AGO,,0.0,8.333,3.993,13.679,133.187
171,P-AGO-1986,AGO,,0.0,7.692,4.3,21.603,161.959
172,P-AGO-1987,AGO,,0.0,14.286,4.914,25.707,203.595
173,P-AGO-1988,AGO,,0.0,12.5,5.528,27.499,259.582
174,P-AGO-1989,AGO,,0.0,-16.667,4.607,1.443,263.326
175,P-AGO-1990,AGO,,0.0,26.661,5.835,3.259,271.909
176,P-AGO-1991,AGO,,0.0,5.268,6.142,4.85,285.098
177,P-AGO-1992,AGO,,0.0,0.648,6.182,10.765,315.789
178,P-AGO-1993,AGO,,0.0,-1.754,6.074,-8.629,288.54
179,P-AGO-1994,AGO,,0.0,-7.162,5.639,10.536,318.941
180,P-AGO-1995,AGO,,0.0,7.715,6.074,13.671,362.542
181,P-AGO-1996,AGO,,0.0,0.0,6.074,13.444,411.283
182,P-AGO-1997,AGO,,0.0,1.786,6.182,3.212,424.495
183,P-AGO-1998,AGO,,0.0,1.754,6.291,-1.37,418.68
184,P-AGO-1999,AGO,,0.0,-3.448,6.074,1.944,426.821
185,P-AGO-2000,AGO,,0.0,1.786,6.182,0.409,428.565
186,P-AGO-2001,AGO,,0.0,-7.018,5.748,-0.814,425.077
187,P-AGO-2002,AGO,,0.0,16.981,6.724,22.025,518.698
188,P-AGO-2003,AGO,,0.0,4.839,7.05,-3.962,498.145
189,P-AGO-2004,AGO,,0.0,15.385,8.134,27.433,634.8
190,P-AGO-2005,AGO,,0.0,-13.333,7.05,14.384,726.112
191,P-AGO-2006,AGO,,0.0,4.615,7.375,10.002,798.735
192,P-AGO-2007,AGO,,0.0,22.059,9.002,18.209,944.174
193,P-AGO-2008,AGO,,0.0,-18.072,7.375,13.68,1073.34
194,P-AGO-2009,AGO,,0.0,1.471,7.484,-6.776,1000.608
195,P-AGO-2010,AGO,,0.0,6.377,7.961,3.361,1034.238
196,P-AGO-2011,AGO,,0.0,2.452,8.156,-7.755,954.029
197,P-AGO-2012,AGO,,0.0,1.064,8.243,3.979,991.991
198,P-AGO-2013,AGO,,0.0,21.711,10.032,-0.105,990.945
199,P-AGO-2014,AGO,,0.0,-20.973,7.928,-2.263,968.516
200,P-AGO-2015,AGO,,0.0,5.746,8.384,5.866,1025.332
201,P-AGO-2016,AGO,,0.0,121.603,18.579,-2.716,997.482
202,P-AGO-2017,AGO,,,0.0,,-4.854,949.065
203,P-AGO-2018,AGO,,,0.0,,-9.215,861.614
204,P-AGO-2019,AGO,,,0.0,,-6.77,803.283
205,P-AGO-2020,AGO,,,0.0,,-7.021,746.882
206,P-AGO-2021,AGO,,,0.0,,-11.854,658.344
207,P-ATA-1980,ATA,,,,,,
208,P-ATA-1981,ATA,,,,,,
209,P-ATA-1982,ATA,,,,,,
210,P-ATA-1983,ATA,,,,,,
211,P-ATA-1984,ATA,,,,,,
212,P-ATA-1985,ATA,,,,,,
213,P-ATA-1986,ATA,,,,,,
214,P-ATA-1987,ATA,,,,,,
215,P-ATA-1988,ATA,,,,,,
216,P-ATA-1989,ATA,,,,,,
217,P-ATA-1990,ATA,,,,,,
218,P-ATA-1991,ATA,,,,,,
219,P-ATA-1992,ATA,,,,,,
220,P-ATA-1993,ATA,,,,,,
221,P-ATA-1994,ATA,,,,,,
222,P-ATA-1995,ATA,,,,,,
223,P-ATA-1996,ATA,,,,,,
224,P-ATA-1997,ATA,,,,,,
225,P-ATA-1998,ATA,,,,,,
226,P-ATA-1999,ATA,,,,,,
227,P-ATA-2000,ATA,,,,,,
228,P-ATA-2001,ATA,,,,,,
229,P-ATA-2002,ATA,,,,,,
230,P-ATA-2003,ATA,,,,,,
231,P-ATA-2004,ATA,,,,,,
232,P-ATA-2005,ATA,,,,,,
233,P-ATA-2006,ATA,,,,,,
234,P-ATA-2007,ATA,,,,,,
235,P-ATA-2008,ATA,,,,,,
236,P-ATA-2009,ATA,,,,,,
237,P-ATA-2010,ATA,,,,,,
238,P-ATA-2011,ATA,,,,,,
239,P-ATA-2012,ATA,,,,,,
240,P-ATA-2013,ATA,,,,,,
241,P-ATA-2014,ATA,,,,,,
242,P-ATA-2015,ATA,,,,,,
243,P-ATA-2016,ATA,,,,,,
244,P-ATA-2017,ATA,,,,,,
245,P-ATA-2018,ATA,,,,,,
246,P-ATA-2019,ATA,,,,,,
247,P-ATG-1980,ATG,,0.0,,0.0,,0.0
248,P-ATG-1981,ATG,,0.0,,0.0,,0.0
249,P-ATG-1982,ATG,,0.0,,0.0,,0.0
250,P-ATG-1983,ATG,,0.0,,0.0,,0.0
251,P-ATG-1984,ATG,,0.0,,0.0,,0.0
252,P-ATG-1985,ATG,,0.0,,0.0,,0.0
253,P-ATG-1986,ATG,,0.0,,0.0,,0.0
254,P-ATG-1987,ATG,,0.0,,0.0,,0.0
255,P-ATG-1988,ATG,,0.0,,0.0,,0.0
256,P-ATG-1989,ATG,,0.0,,0.0,,0.0
257,P-ATG-1990,ATG,,0.0,,0.0,,0.0
258,P-ATG-1991,ATG,,0.0,,0.0,,0.0
259,P-ATG-1992,ATG,,0.0,,0.0,,0.0
260,P-ATG-1993,ATG,,0.0,,0.0,,0.0
261,P-ATG-1994,ATG,,0.0,,0.0,,0.0
262,P-ATG-1995,ATG,,0.0,,0.0,,0.0
263,P-ATG-1996,ATG,,0.0,,0.0,,0.0
264,P-ATG-1997,ATG,,0.0,,0.0,,0.0
265,P-ATG-1998,ATG,,0.0,,0.0,,0.0
266,P-ATG-1999,ATG,,0.0,,0.0,,0.0
267,P-ATG-2000,ATG,,0.0,,0.0,,0.0
268,P-ATG-2001,ATG,,0.0,,0.0,,0.0
269,P-ATG-2002,ATG,,0.0,,0.0,,0.0
270,P-ATG-2003,ATG,,0.0,,0.0,,0.0
271,P-ATG-2004,ATG,,0.0,,0.0,,0.0
272,P-ATG-2005,ATG,,0.0,,0.0,,0.0
273,P-ATG-2006,ATG,,0.0,,0.0,,0.0
274,P-ATG-2007,ATG,,0.0,,0.0,,0.0
275,P-ATG-2008,ATG,,0.0,,0.0,,0.0
276,P-ATG-2009,ATG,,0.0,,0.0,,0.0
277,P-ATG-2010,ATG,,0.0,,0.0,,0.0
278,P-ATG-2011,ATG,,0.0,,0.0,,0.0
279,P-ATG-2012,ATG,,0.0,,0.0,,0.0
280,P-ATG-2013,ATG,,0.0,,0.0,,0.0
281,P-ATG-2014,ATG,,0.0,,0.0,,0.0
282,P-ATG-2015,ATG,,0.0,,0.0,,0.0
283,P-ATG-2016,ATG,,0.0,,0.0,,0.0
284,P-ATG-2017,ATG,,,,,,
285,P-ATG-2018,ATG,,,,,,
286,P-ATG-2019,ATG,,,,,,
287,P-ATG-2020,ATG,,,,,,
288,P-ARG-1980,ARG,-48.647,2.562,16.12,81.646,4.073,293.856
289,P-ARG-1981,ARG,27.692,3.272,4.05,84.953,1.858,299.314
290,P-ARG-1982,ARG,3.414,3.383,12.071,95.208,-0.641,297.394
291,P-ARG-1983,ARG,-5.631,3.193,34.219,127.786,0.375,298.511
292,P-ARG-1984,ARG,4.733,3.344,2.588,131.093,-2.048,292.399
293,P-ARG-1985,ARG,-21.415,2.628,3.042,135.08,-3.91,280.965
294,P-ARG-1986,ARG,-9.0,2.391,11.663,150.835,-5.34,265.962
295,P-ARG-1987,ARG,2.473,2.45,-2.321,147.334,-1.295,262.519
296,P-ARG-1988,ARG,37.265,3.364,18.548,174.661,5.082,275.861
297,P-ARG-1989,ARG,0.391,3.377,5.735,184.678,2.151,281.794
298,P-ARG-1990,ARG,-46.303,1.813,-6.056,173.494,4.98,295.827
299,P-ARG-1991,ARG,5.797,1.918,11.715,193.819,1.751,301.008
300,P-ARG-1992,ARG,-30.822,1.327,0.803,195.375,12.203,337.74
301,P-ARG-1993,ARG,-16.832,1.104,7.118,209.282,6.981,361.319
302,P-ARG-1994,ARG,106.548,2.28,3.485,216.576,11.083,401.363
303,P-ARG-1995,ARG,-12.104,2.004,12.304,243.222,8.536,435.624
304,P-ARG-1996,ARG,1.639,2.037,15.674,281.344,8.968,474.69
305,P-ARG-1997,ARG,-19.032,1.649,-5.358,266.271,6.296,504.574
306,P-ARG-1998,ARG,15.538,1.905,8.072,287.763,1.481,512.046
307,P-ARG-1999,ARG,15.862,2.207,16.83,336.193,-5.313,484.841
308,P-ARG-2000,ARG,-22.917,1.702,8.215,363.812,-0.819,480.871
309,P-ARG-2001,ARG,-28.185,1.222,-0.722,361.186,6.244,510.896
310,P-ARG-2002,ARG,-75.269,0.302,-2.773,351.17,-1.491,503.277
311,P-ARG-2003,ARG,93.478,0.585,13.653,399.114,-0.416,501.183
312,P-ARG-2004,ARG,-42.697,0.335,9.357,436.458,-4.799,477.13
313,P-ARG-2005,ARG,-50.98,0.164,1.671,443.752,-4.038,457.862
314,P-ARG-2006,ARG,463.999,0.926,1.03,448.323,0.163,458.608
315,P-ARG-2007,ARG,-21.986,0.723,-2.755,435.972,-3.091,444.434
316,P-ARG-2008,ARG,46.364,1.058,-1.718,428.483,-1.072,439.67
317,P-ARG-2009,ARG,-49.068,0.539,-5.945,403.012,-9.949,395.928
318,P-ARG-2010,ARG,-20.732,0.427,-3.236,389.97,-2.248,387.029
319,P-ARG-2011,ARG,38.461,0.591,-3.28,377.178,-6.29,362.685
320,P-ARG-2012,ARG,5.556,0.624,-2.722,366.912,-1.105,358.678
321,P-ARG-2013,ARG,-12.632,0.545,-5.82,345.559,-2.123,351.063
322,P-ARG-2014,ARG,-31.325,0.374,-0.202,344.859,-1.324,346.415
323,P-ARG-2015,ARG,-40.351,0.223,2.915,354.911,0.871,349.431
324,P-ARG-2016,ARG,-25.562,0.166,5.047,372.824,-4.709,332.976
325,P-ARG-2017,ARG,0.0,,-0.355,371.499,-4.857,316.803
326,P-ARG-2018,ARG,0.0,,6.12,394.233,1.109,320.318
327,P-ARG-2019,ARG,0.0,,5.56,416.153,4.693,335.349
328,P-ARG-2020,ARG,0.0,,-7.984,382.925,-4.084,321.654
329,P-ARG-2021,ARG,0.0,,0.825,386.085,5.095,338.041
330,P-ARM-1992,ARM,,0.0,,0.0,,0.0
331,P-ARM-1993,ARM,,0.0,,0.0,,0.0
332,P-ARM-1994,ARM,,0.0,,0.0,,0.0
333,P-ARM-1995,ARM,,0.0,,0.0,,0.0
334,P-ARM-1996,ARM,,0.0,,0.0,,0.0
335,P-ARM-1997,ARM,,0.0,,0.0,,0.0
336,P-ARM-1998,ARM,,0.0,,0.0,,0.0
337,P-ARM-1999,ARM,,0.0,,0.0,,0.0
338,P-ARM-2000,ARM,,0.0,,0.0,,0.0
339,P-ARM-2001,ARM,,0.0,,0.0,,0.0
340,P-ARM-2002,ARM,,0.0,,0.0,,0.0
341,P-ARM-2003,ARM,,0.0,,0.0,,0.0
342,P-ARM-2004,ARM,,0.0,,0.0,,0.0
343,P-ARM-2005,ARM,,0.0,,0.0,,0.0
344,P-ARM-2006,ARM,,0.0,,0.0,,0.0
345,P-ARM-2007,ARM,,0.0,,0.0,,0.0
346,P-ARM-2008,ARM,,0.0,,0.0,,0.0
347,P-ARM-2009,ARM,,0.0,,0.0,,0.0
348,P-ARM-2010,ARM,,0.0,,0.0,,0.0
349,P-ARM-2011,ARM,,0.0,,0.0,,0.0
350,P-ARM-2012,ARM,,0.0,,0.0,,0.0
351,P-ARM-2013,ARM,,0.0,,0.0,,0.0
352,P-ARM-2014,ARM,,0.0,,0.0,,0.0
353,P-ARM-2015,ARM,,0.0,,0.0,,0.0
354,P-ARM-2016,ARM,,0.0,,0.0,,0.0
