,id_emision,id_pais,emision_co2,intensidad_carbono
253,E-IND-1981,IND,539.9076013415023,
254,E-IDN-1981,IDN,144.3662203678743,
255,E-IRN-1981,IRN,203.35135033410404,
256,E-IRQ-1981,IRQ,68.38402092,
257,E-IRL-1981,IRL,41.23407192773747,
258,E-ISR-1981,ISR,47.553920619631874,
259,E-ITA-1981,ITA,674.7732210884183,
260,E-JAM-1981,JAM,15.5726,
261,E-JPN-1981,JPN,1743.5771797164564,
262,E-JOR-1981,JOR,10.4143,
263,E-KEN-1981,KEN,11.47668946193146,
264,E-KIR-1981,KIR,0.0447,
265,E-KWT-1981,KWT,57.66798104,
266,E-LAO-1981,LAO,0.82932,
267,E-LBN-1981,LBN,12.870547585886037,
268,E-LSO-1981,LSO,0.29186,
269,E-LBR-1981,LBR,3.77424,
270,E-LBY-1981,LBY,48.2819188,
271,E-LUX-1981,LUX,25.090564723511502,
272,E-MDG-1981,MDG,2.332014944140896,
273,E-MWI-1981,MWI,1.1356386061249064,
274,E-MYS-1981,MYS,52.60346692017405,
275,E-MDV-1981,MDV,0.02812,
276,E-MLI-1981,MLI,0.83604,
277,E-MLT-1981,MLT,2.5304920023143422,
278,E-MTQ-1981,MTQ,1.26914,
279,E-MRT-1981,MRT,1.2097716139094712,
280,E-MUS-1981,MUS,1.70354,
281,E-MEX-1981,MEX,395.3699347182594,
282,E-MNG-1981,MNG,26.408188761741368,
283,E-MSR-1981,MSR,0.03376,
284,E-MAR-1981,MAR,27.91655998787946,
285,E-MOZ-1981,MOZ,3.77508,
286,E-NRU-1981,NRU,0.25242,
287,E-NPL-1981,NPL,0.8220005518960143,
288,E-NLD-1981,NLD,342.2403399444995,
289,E-ANT-1981,ANT,31.97368,
290,E-NCL-1981,NCL,3.5126721057025665,
291,E-NZL-1981,NZL,37.03700877038063,
292,E-NIC-1981,NIC,3.68522,
293,E-NER-1981,NER,1.1966853677482128,
294,E-NGA-1981,NGA,52.516868804194715,
295,E-NIU-1981,NIU,0.00562,
296,E-PRK-1981,PRK,173.3260384198124,
297,E-MNP-1981,MNP,0.0,
298,E-NOR-1981,NOR,63.491859327695046,
299,E-OMN-1981,OMN,7.91995848,
300,E-PAK-1981,PAK,65.24305871641549,
301,E-PAN-1981,PAN,10.78008,
302,E-PNG-1981,PNG,3.43862,
303,E-PRY-1981,PRY,2.772,
304,E-PER-1981,PER,43.838601404041,
305,E-PHL-1981,PHL,66.67151690617428,
306,E-POL-1981,POL,797.303372738084,
307,E-PRT-1981,PRT,42.38788201357386,
308,E-PRI-1981,PRI,28.015592001921718,
309,E-QAT-1981,QAT,23.39632144,
310,E-REU-1981,REU,1.20054,
311,E-ROU-1981,ROU,339.8402709381882,
312,E-RWA-1981,RWA,0.30494,
313,E-SHN-1981,SHN,0.0,
314,E-KNA-1981,KNA,0.10108,
315,E-LCA-1981,LCA,0.22362,
316,E-SPM-1981,SPM,0.2942,
317,E-WSM-1981,WSM,0.1858,
318,E-STP-1981,STP,0.0642,
319,E-SAU-1981,SAU,214.14312044000002,
320,E-SEN-1981,SEN,4.97584,
321,E-SYC-1981,SYC,0.42072,
322,E-SLE-1981,SLE,1.422,
323,E-SGP-1981,SGP,58.826142068308826,
324,E-SVK-1981,SVK,0.0,
