,id_cons,id_pais,con_bio_porc_anual,con_biocomb,con_carb_porc_anual,con_carbon,en_con_carb_porc_anual,con_gas_porc_anual,con_gas,con_hydro_porc_anual,con_hydro,con_nuc_porc_anual,con_nuc,con_petr_porc_anual,con_petr,con_sol_porc_anual,con_sol,con_eol_porc_anual,con_eol
525,C-BHS-1989,BHS,,,,,,,,,,,,,,,,,
526,C-BHS-1990,BHS,,,,,,,,,,,,,,,,,
527,C-BHS-1991,BHS,,,,,,,,,,,,,,,,,
528,C-BHS-1992,BHS,,,,,,,,,,,,,,,,,
529,C-BHS-1993,BHS,,,,,,,,,,,,,,,,,
530,C-BHS-1994,BHS,,,,,,,,,,,,,,,,,
531,C-BHS-1995,BHS,,,,,,,,,,,,,,,,,
532,C-BHS-1996,BHS,,,,,,,,,,,,,,,,,
533,C-BHS-1997,BHS,,,,,,,,,,,,,,,,,
534,C-BHS-1998,BHS,,,,,,,,,,,,,,,,,
535,C-BHS-1999,BHS,,,,,,,,,,,,,,,,,
536,C-BHS-2000,BHS,,,,,,,,,,,,,,,,,
537,C-BHS-2001,BHS,,,,,,,,,,,,,,,,,
538,C-BHS-2002,BHS,,,,,,,,,,,,,,,,,
539,C-BHS-2003,BHS,,,,,,,,,,,,,,,,,
540,C-BHS-2004,BHS,,,,,,,,,,,,,,,,,
541,C-BHS-2005,BHS,,,,,,,,,,,,,,,,,
542,C-BHS-2006,BHS,,,,,,,,,,,,,,,,,
543,C-BHS-2007,BHS,,,,,,,,,,,,,,,,,
544,C-BHS-2008,BHS,,,,,,,,,,,,,,,,,
545,C-BHS-2009,BHS,,,,,,,,,,,,,,,,,
546,C-BHS-2010,BHS,,,,,,,,,,,,,,,,,
547,C-BHS-2011,BHS,,,,,,,,,,,,,,,,,
548,C-BHS-2012,BHS,,,,,,,,,,,,,,,,,
549,C-BHS-2013,BHS,,,,,,,,,,,,,,,,,
550,C-BHS-2014,BHS,,,,,,,,,,,,,,,,,
551,C-BHS-2015,BHS,,,,,,,,,,,,,,,,,
552,C-BHS-2016,BHS,,,,,,,,,,,,,,,,,
553,C-BHS-2017,BHS,,,,,,,,,,,,,,,,,
554,C-BHS-2018,BHS,,,,,,,,,,,,,,,,,
555,C-BHS-2019,BHS,,,,,,,,,,,,,,,,,
556,C-BHS-2020,BHS,,,,,,,,,,,,,,,,,
557,C-BHR-1980,BHR,,,,,,,,,,,,,,,,,
558,C-BHR-1981,BHR,,,,,,,,,,,,,,,,,
559,C-BHR-1982,BHR,,,,,,,,,,,,,,,,,
560,C-BHR-1983,BHR,,,,,,,,,,,,,,,,,
561,C-BHR-1984,BHR,,,,,,,,,,,,,,,,,
562,C-BHR-1985,BHR,,,,,,,,,,,,,,,,,
563,C-BHR-1986,BHR,,,,,,,,,,,,,,,,,
564,C-BHR-1987,BHR,,,,,,,,,,,,,,,,,
565,C-BHR-1988,BHR,,,,,,,,,,,,,,,,,
566,C-BHR-1989,BHR,,,,,,,,,,,,,,,,,
567,C-BHR-1990,BHR,,,,,,,,,,,,,,,,,
568,C-BHR-1991,BHR,,,,,,,,,,,,,,,,,
569,C-BHR-1992,BHR,,,,,,,,,,,,,,,,,
570,C-BHR-1993,BHR,,,,,,,,,,,,,,,,,
571,C-BHR-1994,BHR,,,,,,,,,,,,,,,,,
