,id_gen,id_pais,poblacion,pbi,gen_biocomb,gen_bio_porc,gen_carbon,gen_carbon_porc,gen_gas,gen_gas_porc,gen_hidro,gen_hidro_porc,import_netas,import_netas_porc,gen_nuclear,gen_nuclear_porc,gen_petroleo,gen_petroleo_porc,gen_solar,gen_solar_porc,gen_eolica,gen_eolica_porc
63,G-ALB-2002,ALB,3126183.0,17408065536.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,93.85,2.11,36.068,0.0,0.0,0.23,6.15,0.0,0.0,0.0,0.0
64,G-ALB-2003,ALB,3118017.0,18465497088.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,97.8,0.92,15.541,0.0,0.0,0.11,2.2,0.0,0.0,0.0,0.0
65,G-ALB-2004,ALB,3104893.0,19587880960.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47,97.504,0.48,7.882,0.0,0.0,0.14,2.496,0.0,0.0,0.0,0.0
66,G-ALB-2005,ALB,3086810.0,20781076480.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,98.713,0.37,6.368,0.0,0.0,0.07,1.287,0.0,0.0,0.0,0.0
67,G-ALB-2006,ALB,3063021.0,22124285952.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,98.37,0.61,9.951,0.0,0.0,0.09,1.63,0.0,0.0,0.0,0.0
68,G-ALB-2007,ALB,3033993.0,23574646784.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,97.552,2.83,49.736,0.0,0.0,0.07,2.448,0.0,0.0,0.0,0.0
69,G-ALB-2008,ALB,3002683.0,25476937728.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,100.0,2.43,39.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,G-ALB-2009,ALB,2973044.0,26471389184.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,100.0,1.4,21.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,G-ALB-2010,ALB,2948029.0,27598268416.0,0.0,0.0,0.0,0.0,0.0,0.0,7.57,100.0,-0.95,-14.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,G-ALB-2011,ALB,2928601.0,28452651008.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13,98.568,3.26,43.758,0.0,0.0,0.06,1.432,0.0,0.0,0.0,0.0
73,G-ALB-2012,ALB,2914091.0,28855377920.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,100.0,2.54,34.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,G-ALB-2013,ALB,2903788.0,29142642688.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96,100.0,2.32,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,G-ALB-2014,ALB,2896307.0,29675640832.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,100.0,3.07,39.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,G-ALB-2015,ALB,2890524.0,30444531712.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,100.0,1.4,19.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,G-ALB-2016,ALB,2886427.0,31481821184.0,0.0,0.0,0.0,0.0,0.0,0.0,7.78,100.0,-0.04,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,G-ALB-2017,ALB,2884169.0,32678760448.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,100.0,2.91,39.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,G-ALB-2018,ALB,2882735.0,34009112576.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55,100.0,-0.91,-11.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,G-ALB-2019,ALB,2880913.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.18,99.615,2.41,31.669,0.0,0.0,0.0,0.0,0.02,0.385,0.0,0.0
81,G-ALB-2020,ALB,2877800.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.28,99.435,2.28,30.04,0.0,0.0,0.0,0.0,0.03,0.565,0.0,0.0
82,G-DZA-1980,DZA,19221658.0,94481653760.0,,,,,,,0.257,,,,0.0,,,,0.0,,0.0,
83,G-DZA-1981,DZA,19824296.0,96860520448.0,,,,,,,0.366,,,,0.0,,,,0.0,,0.0,
84,G-DZA-1982,DZA,20452900.0,103073660928.0,,,,,,,0.479,,,,0.0,,,,0.0,,0.0,
85,G-DZA-1983,DZA,21101876.0,108430385152.0,,,,,,,0.235,,,,0.0,,,,0.0,,0.0,
86,G-DZA-1984,DZA,21763578.0,114406670336.0,,,,,,,0.452,,,,0.0,,,,0.0,,0.0,
87,G-DZA-1985,DZA,22431508.0,120364212224.0,,,,,,,0.646,5.263,,,0.0,0.0,,,0.0,0.0,0.0,0.0
88,G-DZA-1986,DZA,23102386.0,119145037824.0,,,,,,,0.25,1.926,,,0.0,0.0,,,0.0,0.0,0.0,0.0
